Subject,Start Date,Start Time,All Day Event,Description,Location,Private
"P2-14 Pirates vs. P2-01 Athletics","3/24/2012","9:00:00 AM","False","  ","Cooper West","False"
"P2-03 Rockies vs. P2-12 Cardinals","3/24/2012","11:30:00 AM","False","  ","Cooper West","False"
"P2-07 Yankees vs. P2-13 Tigers","3/24/2012","2:00:00 PM","False","  ","Cooper West","False"
"P2-04 Cubs vs. P2-09 Phillies","3/24/2012","4:30:00 PM","False","  ","Cooper West","False"
"P2-02 White Sox vs. P2-11 Blue Jays","3/24/2012","9:00:00 AM","False","  ","Cooper East","False"
"P2-10 Rangers vs. P2-08 Padres","3/24/2012","11:30:00 AM","False","  ","Cooper East","False"
"P2-05 Giants vs. P2-06 D-Backs","3/24/2012","2:00:00 PM","False","  ","Cooper East","False"
"P2-05 Giants vs. P2-08 Padres","3/27/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-11 Blue Jays vs. P2-14 Pirates","3/27/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-13 Tigers vs. P2-10 Rangers","3/28/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-01 Athletics vs. P2-03 Rockies","3/28/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-06 D-Backs vs. P2-04 Cubs","3/29/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-12 Cardinals vs. P2-07 Yankees","3/29/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-02 White Sox vs. P2-14 Pirates","3/31/2012","9:00:00 AM","False","  ","Cooper West","False"
"P2-07 Yankees vs. P2-01 Athletics","3/31/2012","9:00:00 AM","False","  ","Cooper East","False"
"P2-10 Rangers vs. P2-12 Cardinals","3/31/2012","2:00:00 PM","False","  ","Cooper East","False"
"P2-09 Phillies vs. P2-06 D-Backs","3/31/2012","4:30:00 PM","False","  ","Cooper West","False"
"P2-05 Giants vs. P2-13 Tigers","4/3/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-14 Pirates vs. P2-12 Cardinals","4/3/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-03 Rockies vs. P2-11 Blue Jays","4/4/2012","5:00:00 PM","False","  ","Cooper West","False"
"P2-07 Yankees vs. P2-10 Rangers","4/4/2012","5:00:00 PM","False","  ","Cooper East","False"
"P2-08 Padres vs. P2-09 Phillies","4/7/2012","9:00:00 AM","False","  ","Cooper West","False"
"P2-12 Cardinals vs. P2-05 Giants","4/7/2012","11:30:00 AM","False","  ","Cooper West","False"
"P2-14 Pirates vs. P2-03 Rockies","4/7/2012","2:00:00 PM","False","  ","Cooper West","False"
"P2-13 Tigers vs. P2-04 Cubs","4/7/2012","4:30:00 PM","False","  ","Cooper West","False"
"P2-10 Rangers vs. P2-01 Athletics","4/7/2012","9:00:00 AM","False","  ","Cooper East","False"
"P2-06 D-Backs vs. P2-02 White Sox","4/7/2012","11:30:00 AM","False","  ","Cooper East","False"
"P2-11 Blue Jays vs. P2-07 Yankees","4/7/2012","2:00:00 PM","False","  ","Cooper East","False"
"P2-10 Rangers vs. P2-11 Blue Jays","4/17/2012","5:00:00 PM","False","  ","Cooper West","False"
