Subject,Start Date,Start Time,All Day Event,Description,Location,Private
"LG-04 White Sox vs. LG-01 Red Sox","3/24/2012","9:00:00 AM","False","  ","Fisher","False"
"LG-02 Giants vs. LG-03 Reds","3/24/2012","12:00:00 PM","False","  ","Fisher","False"
"LA-04 Jays vs. LA-06 Tarheels","3/24/2012","12:00:00 PM","False","  ","Skip Mueller (Rosita)","False"
"MH-05 Giants vs. MH-02 Yankees","3/10/2012","12:00:00 PM","False","  ","Pinnacle Bank","False"
"SA-01 Marlins vs. SA-02 Red Sox","3/24/2012","12:00:00 PM","False","  ","Congress Springs","False"
"LA-05 Badgers vs. LA-03 Bears","3/24/2012","3:00:00 PM","False","  ","Skip Mueller (Rosita)","False"
"MH-04 Phillies vs. MH-01 Mets","3/24/2012","12:00:00 PM","False","  ","Pinnacle Bank","False"
"MH-01 Mets vs. SJ-01 Hornets","3/17/2012","11:00:00 PM","False","  ","Dartmouth","False"
"LA-02 Longhorns vs. LA-01 Cubs","3/24/2012","9:00:00 AM","False","  ","Skip Mueller (Rosita)","False"
"LG-03 Reds vs. LG-04 White Sox","3/27/2012","5:15:00 PM","False","  ","Fisher","False"
"MH-03 Athletics vs. MH-02 Yankees","3/29/2012","5:15:00 PM","False","  ","Pinnacle Bank","False"
"MH-01 Mets vs. MH-05 Giants","3/27/2012","5:15:00 PM","False","  ","Pinnacle Bank","False"
"MH-03 Athletics vs. MH-04 Phillies","3/14/2012","5:00:00 PM","False","  ","Pinnacle Bank","False"
"SJ-01 Hornets vs. SA-01 Marlins","3/27/2012","5:15:00 PM","False","  ","Congress Springs","False"
"LA-01 Cubs vs. LA-05 Badgers","3/27/2012","5:15:00 PM","False","  ","Skip Mueller (Rosita)","False"
"LA-03 Bears vs. LA-04 Jays","3/28/2012","5:15:00 PM","False","  ","Skip Mueller (Rosita)","False"
"LA-02 Longhorns vs. LA-06 Tarheels","3/29/2012","5:15:00 PM","False","  ","Skip Mueller (Rosita)","False"
"LA-02 Longhorns vs. MH-03 Athletics","3/31/2012","12:00:00 PM","False","  ","Pinnacle Bank","False"
