(blank),0,,,,,,,,,,,,
,,,,,,,,,,,,,
Matt,1,,,,,,,,,,,,
20027,Sat,"Oct 12, 2013",4pm,late afternoon,Matt,Whisman, Red Star SA 01B Red, vs., Santa Cruz County Breakers 01B blue,U12B - Premier - Region 2,League U11-U13 FALL,,
Terry,3,,,,,,,,,,,,
30029,Sat,"Oct 12, 2013",,request late afternoon,Terry,, Mountain View / Los Altos SC Vipers Blue, vs., Red Star SA 00B Red,U13B - Premier - Region 2,League U11-U13 FALL,,
2322,Sat,"Oct 12, 2013",9:15 AM,,Terry,Montclaire small, Red Star SA 04B Green, vs., PSV Union FC 04B,U9 Boys Bronze 2 - North,Region 2 League,,
3328,Sat,"Oct 12, 2013",,request midday noon,Terry,, America USA 2003 Santos Laguna, vs., Red Star SA 03B White,U10 Boys Bronze 1,Region 2 League,,
Adriano,2,,,,,,,,,,,,
11127,Sat,"Oct 12, 2013",10:30 AM,,Adriano,Slater Big, Red Star SA 02B White, vs., Force 02B Silver,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
10530,Sat,"Oct 12, 2013",9:15 AM,,Adriano,Slater Big, Red Star SA 02B Red, vs., Alliance FC Victory 03,U11B - Gold - Region 2,League U11-U13 FALL,,
Cleber,4,,,,,,,,,,,,
40917,Sat,"Oct 12, 2013",12pm,,Cleber,Slater Big, Red Star SA 02G Red, vs., GSC Gryphons 02G White,U11G - Silver 1 - Region 2,League U11-U13 FALL,,
21226,Sat,"Oct 12, 2013",9:30 AM,,Cleber,Grant Park, Red Star SA 01B White, vs., West Valley Dynamo Black,U12B - Silver 2 - Region 2,League U11-U13 FALL,,
2024,Sat,"Oct 12, 2013",5pm,,Cleber,Montclaire Big, Red Star SA 04B Red, vs., Mountain View / Los Altos SC Lynx Blue,U9 Boys Gold,Region 2 League,,
3516,Sat,"Oct 12, 2013",3:45 PM,,Cleber,Montclaire Big, Red Star SA 03B Black, vs., Woodside SC Everton,U10 Boys Bronze 3,Region 2 League,,
Yannick,3,,,,,,,,,,,,
41023,Sat,"Oct 12, 2013",12pm,,Yannick,Slater Big, Red Star SA 02G White, vs., Barcelona Bay Area Blue,U11G - Silver 2 - Region 2,League U11-U13 FALL,,
1023,Sat,"Oct 12, 2013",,request late afternoon,Yannick,, Barcelona Bay Area Academy 05B, vs., Red Star SA 05B Red,U8 Boys Gold,Region 2 League,,
5127,Sat,"Oct 12, 2013",,request early morning,Yannick,, Mountain View / Los Altos SC Barcelona Black, vs., Red Star SA 03G Red,U10 Girls Silver,Region 2 League,,
Ryan,4,,,,,,,,,,,,
30929,Sat,"Oct 12, 2013",,request early afternoon 2pm,Ryan,, Stanford Soccer Club Catatumbo, vs., Red Star SA 00B White,U13B - Silver 1 - Region 2,League U11-U13 FALL,,
4229,Sat,"Oct 12, 2013",,request late morning 11am,Ryan,, PSV Union FC 05G, vs., Red Star SA 04G White,U9 Girls Bronze,Region 2 League,,
5329,Sat,"Oct 12, 2013",,request late afternoon 5pm,Ryan,, Burlingame SC RAge, vs., Red Star SA 03G White,U10 Girls Bronze,Region 2 League,,
1227,Sat,"Oct 12, 2013",8:30 AM,,Ryan,Cubberley North Field, Palo Alto Soccer Club Palo Alto 06B White, vs., Red Star SA 05B White,U8 Boys Bronze - North,Region 2 League,,
Yannick - Michael,1,,,,,,,,,,,,
2226,Sat,"Oct 12, 2013",,,Yannick - Michael,, Red Star SA 04B Black, vs., Red Star SA 04B White,U9 Boys Bronze 1,Region 2 League,,
Victor,2,,,,,,,,,,,,
4116,Sat,"Oct 12, 2013",,request afternoon,Victor,, Palo Alto Soccer Club 05G Blue, vs., Red Star SA 04G Red,U9 Girls Silver,Region 2 League,,
11128,Sat,"Oct 12, 2013",11:30 AM,,Victor,Cubberley North Field, Palo Alto Soccer Club 03B Red, vs., Red Star SA 02B Black,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
Michael,2,,,,,,,,,,,,
#639 ,Sat,"Oct 12, 2013",11am,,Michael,Grant Park,RED STAR SA 98B RED, vs.,ALLIANCE FC ACADEMICOS 99,Boys U15 Silver Region 2,Boys U15 Silver Region 2,,
#232 ,Sat,"Oct 12, 2013",8am,,Michael,Grant Park,RED STAR SA 99B WHITE, vs.,LOBITOS GALAXY,Boys U14 Silver Region 2,Boys U14 Silver Region 2,,
