(blank),0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Game comments/Request,,Field,,,,,,,
Matt,2,,,,,,,,,,,,
20019,Sat,"Oct 5, 2013",,request morning,Matt,, CA San Jose Diablitos, vs., Red Star SA 01B Red,U12B - Premier - Region 2,League U11-U13 FALL,,
3219,Sat,"Oct 5, 2013",,request afternoon,Matt,, Barcelona Bay Area Academy Silver 03B, vs., Red Star SA 03B Red,U10 Boys Silver,Region 2 League,,
Terry,3,,,,,,,,,,,,
30019,Sat,"Oct 5, 2013",8am,,Terry,Grant Park, Red Star SA 00B Red, vs., Force 00B Blue,U13B - Premier - Region 2,League U11-U13 FALL,,
2314,Sat,"Oct 5, 2013",10:30 AM,,Terry,Slater small, Red Star SA 04B Green, vs., Force 04B White,U9 Boys Bronze 2 - North,Region 2 League,,
3318,Sat,"Oct 5, 2013",,request afternoon,Terry,, RCSC 03B White, vs., Red Star SA 03B White,U10 Boys Bronze 1,Region 2 League,,
Victor,2,,,,,,,,,,,,
11118,Sat,"Oct 5, 2013",,request morning,Victor,, Sunnyvale Alliance Soccer Club Bulls 02 Black, vs., Red Star SA 02B Black,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
4110,Sat,"Oct 5, 2013",,,Victor,Slater small, Red Star SA 04G Red, vs., Burlingame SC Freedom,U9 Girls Silver,Region 2 League,,
Cleber,5,,,,,,,,,,,,
40912,Sat,"Oct 5, 2013",,request early morning,Cleber,, Mountain View / Los Altos SC Lightning Black, vs., Red Star SA 02G Red,U11G - Silver 1 - Region 2,League U11-U13 FALL,,
21218,Sat,"Oct 5, 2013",5:30 PM,,Cleber,Whisman, Red Star SA 01B White, vs., Sunnyvale Alliance Soccer Club Fury 01 White,U12B - Silver 2 - Region 2,League U11-U13 FALL,,
2014,Sat,"Oct 5, 2013",,two games in a day??,Cleber,, Barcelona Bay Area Academy 04B, vs., Red Star SA 04B Red,U9 Boys Gold,Region 2 League,,
3512,Sat,"Oct 5, 2013",12pm,,Cleber,Slater big, Red Star SA 03B Black, vs., RCSC 03B Grey,U10 Boys Bronze 3,Region 2 League,,
2020,Sat,"Oct 5, 2013",2:30 PM,two games in a day??,Cleber,Cubberley North Field, Palo Alto Soccer Club 05B Blue, vs., Red Star SA 04B Red,U9 Boys Gold,Region 2 League,,
Ryan,4,,,,,,,,,,,,
30917,Sat,"Oct 5, 2013",8am,,Ryan,Grant Park, Red Star SA 00B White, vs., Force 00B Black,U13B - Silver 1 - Region 2,League U11-U13 FALL,,
1217,Sat,"Oct 5, 2013",,request late morning 11 am,Ryan,, Alliance FC Diablos 06, vs., Red Star SA 05B White,U8 Boys Bronze - North,Region 2 League,,
4219,Sat,"Oct 5, 2013",5pm,,Ryan,Slater small, Red Star SA 04G White, vs., Burlingame SC Fusion,U9 Girls Bronze,Region 2 League,,
5319,Sat,"Oct 5, 2013",3:45 PM,,Ryan,Slater big, Red Star SA 03G White, vs., Juventus Sole Blue,U10 Girls Bronze,Region 2 League,,
Yannick,4,,,,,,,,,,,,
1016,Sat,"Oct 5, 2013",,request 8am,Yannick,, PSA Pacific Soccer Academy B05, vs., Red Star SA 05B Red,U8 Boys Gold,Region 2 League,,
5117,Sat,"Oct 5, 2013",5pm,,Yannick,Slater Big, Red Star SA 03G Red, vs., Almaden FC Quicksilver 03,U10 Girls Silver,Region 2 League,,
41015,Sat,"Oct 5, 2013",10:30 AM,,Yannick,Hoover Park (Cupertino) South Field, Force 02G White, vs., Red Star SA 02G White,U11G - Silver 2 - Region 2,League U11-U13 FALL,,
2216,Sat,"Oct 5, 2013",1:30 PM,,Yannick,Watson Park 8v8 2, Lobitos Koritas '03, vs., Red Star SA 04B White,U9 Boys Bronze 1,Region 2 League,,
Michael,4,,,,,,,,,,,,
2218,Sat,"Oct 5, 2013",3:45 PM,,Michael,Slater small, Red Star SA 04B Black, vs., PAC SAN JOSE 2004 II,U9 Boys Bronze 1,Region 2 League,,
#633 ,Sat,"Oct 5, 2013",,request early morning,Michael,,MONTEREY COUNTY FC MARINA SURF, vs.,RED STAR SA 98B RED,Boys U15 Silver Region 2,Boys U15 Silver Region 2,,
#226 ,Sat,"Oct 5, 2013",5:45 PM,,Michael,Mise Park,DEANZA FORCE 99B WHITE, vs.,RED STAR SA 99B WHITE,Boys U14 Silver Region 2,Boys U14 Silver Region 2,,
3510,Sat,"Oct 5, 2013",,request late morning,Michael,Woodside Elementary School Field, Woodside SC Everton, vs., Red Star SA 03B Green,U10 Boys Bronze 3,Region 2 League,,
Adriano,3,,,,,,,,,,,,
10516,Sat,"Oct 5, 2013",1:15 PM,,Adriano,Slater big, Red Star SA 02B Red, vs., Barcelona Bay Area Silver 02B,U11B - Gold - Region 2,League U11-U13 FALL,,
11119,Sat,"Oct 5, 2013",9:00 AM,,Adriano,Cubberley North Field, Palo Alto Soccer Club 03B Red, vs., Red Star SA 02B White,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
#228 ,Sat,"Oct 5, 2013",4pm,,Adriano,Whisman,RED STAR SA 99B RED, vs.,WINCHESTER SOCCER WSL INTERNACIONAL,Boys U14 Silver Region 2,Boys U14 Silver Region 2,,
