(blank),0,,,,,,,,,,,,
,,,,Game Comments/Requests,,Field,,,,,,,
Matt,2,,,,,,,,,,,,
20009,Sat,"Sep 14, 2013",,request morning,Matt,, Los Gatos United Panthers, vs., Red Star SA 01B Red,U12B - Premier - Region 2,League U11-U13 FALL,,
3207,Sat,"Sep 14, 2013",3:45 PM,,Matt,Slater Big, Red Star SA 03B Red, vs., Burlingame SC Arsenal FC,U10 Boys Silver,Region 2 League,,
Terry,3,,,,,,,,,,,,
30007,Sat,"Sep 14, 2013",,request early morning,Terry,, Santa Cruz County Breakers 01B White, vs., Red Star SA 00B Red,U13B - Premier - Region 2,League U11-U13 FALL,,
2308,Sat,"Sep 14, 2013",1:15 PM,,Terry,Slater Small, Red Star SA 04B Green, vs., Mountain View / Los Altos SC Lynx White,U9 Boys Bronze 2 - North,Region 2 League,,
3308,Sat,"Sep 14, 2013",,request late afternoon,Terry,, Burlingame SC Titans, vs., Red Star SA 03B White,U10 Boys Bronze 1,Region 2 League,,
Victor,2,,,,,,,,,,,,
11108,Sat,"Sep 14, 2013",,request afternoon,Victor,, Juventus Nighthawks, vs., Red Star SA 02B Black,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
4106,Sat,"Sep 14, 2013",,request morning,Victor,, Barcelona Bay Area Red 04G, vs., Red Star SA 04G Red,U9 Girls Silver,Region 2 League,,
Cleber,4,,,,,,,,,,,,
40905,Sat,"Sep 14, 2013",3:45 PM,,Cleber,Montclaire Big, Red Star SA 02G Red, vs., Santa Cruz County Breakers 02G Blue,U11G - Silver 1 - Region 2,League U11-U13 FALL,,
21210,Sat,"Sep 14, 2013",,request late morning 11am,Cleber,, Alpine Strikers FC 01B Silver, vs., Red Star SA 01B White,U12B - Silver 2 - Region 2,League U11-U13 FALL,,
2006,Sat,"Sep 14, 2013",,request early morning 8am,Cleber,, SMC Star 04B Gold, vs., Red Star SA 04B Red,U9 Boys Gold,Region 2 League,,
3504,Sat,"Sep 14, 2013",5pm,,Cleber,Montclaire Big, Red Star SA 03B Black, vs., Force 03 Boys White,U10 Boys Bronze 3,Region 2 League,,
Yannick,4,,,,,,,,,,,,
41006,Sat,"Sep 14, 2013",8am,,Yannick,Slater Big, Red Star SA 02G White, vs., Mountain View / Los Altos SC Lightning Red,U11G - Silver 2 - Region 2,League U11-U13 FALL,,
1007,Sat,"Sep 14, 2013",9:15 AM,,Yannick,Slater Small, Red Star SA 05B Red, vs., Lobitos Koritas,U8 Boys Gold,Region 2 League,,
2206,Sat,"Sep 14, 2013",,request late afternoon,Yannick,, America USA 2004 Santos Laguna, vs., Red Star SA 04B White,U9 Boys Bronze 1,Region 2 League,,
5107,Sat,"Sep 14, 2013",12pm,,Yannick,Slater Big, Red Star SA 03G Red, vs., Barcelona Bay Area Academy Silver 03G,U10 Girls Silver,Region 2 League,,
Ryan,4,,,,,,,,,,,,
30910,Sat,"Sep 14, 2013",1:00 PM,,Ryan,Whisman, Red Star SA 00B White, vs., PAC SAN JOSE Pumas 00B,U13B - Silver 1 - Region 2,League U11-U13 FALL,,
5307,Sat,"Sep 14, 2013",,request early morning 9am,Ryan,, Santa Cruz FC Rev 03G, vs., Red Star SA 03G White,U10 Girls Bronze,Region 2 League,,
1207,Sat,"Sep 14, 2013",5:15 PM,,Ryan,, Force 05B White, vs., Red Star SA 05B White,U8 Boys Bronze - North,Region 2 League,,
4207,Sat,"Sep 14, 2013",2:30 PM,,Ryan,Cubberley North Field, Palo Alto Soccer Club White U9, vs., Red Star SA 04G White,U9 Girls Bronze,Region 2 League,,
Michael,3,,,,,,,,,,,,
3505,Sat,"Sep 14, 2013",,request early morning 9am,Michael,, RCSC 03B Grey, vs., Red Star SA 03B Green,U10 Boys Bronze 3,Region 2 League,,
2210,Sat,"Sep 14, 2013",1:30 PM,,Michael,Cubberley North Field, Palo Alto Soccer Club 05B White, vs., Red Star SA 04B Black,U9 Boys Bronze 1,Region 2 League,,
#627 ,Sat,"Sep 14, 2013",,request late afternoon,Michael,,MTN VIEW/LOS ALTOS SC 98B BLACK, vs.,RED STAR SA 98B RED,Boys U15 Silver Region 2,Boys U15 Silver Region 2,,
Adriano,3,,,,,,,,,,,,
10509,Sat,"Sep 14, 2013",5pm,,Adriano,Slater Big, Red Star SA 02B Red, vs., GSC Gryphons 02B Blue,U11B - Gold - Region 2,League U11-U13 FALL,,
11109,Sat,"Sep 14, 2013",1:30 PM,,Adriano,Hillsdale High School Large Grass, GSC Gryphons 02B White, vs., Red Star SA 02B White,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
#218 ,Sat,"Sep 14, 2013",8am,,Adriano,Grant Park,RED STAR SA 99B RED, vs.,EVERGREEN UNITED EARTHQUAKES 99B BLUE,Boys U14 Silver Region 2,Boys U14 Silver Region 2,,
